representative_case,applies_to_phase9_cases,sheet,canonical_index,grid_j,grid_i,x_over_c,y_over_b,x_m,span_m,z_m,failure_reason,projected_candidate_triangle_ids,projected_candidate_max_abs_nz,current_sampler_upper_triangle_id,current_sampler_lower_triangle_id,nearest_any_stl_triangle_id,distance_to_any_stl_projected_support_m,nearest_eligible_skin_triangle_id,nearest_eligible_skin_triangle_sheet_code,distance_to_eligible_skin_support_m,nearest_same_sheet_triangle_id,distance_to_same_sheet_support_m,nearest_outline_segment,outline_region,distance_to_outline_boundary_m,expected_domain,point_classification,representation_classification,unknown
ma8_a10_h40km,12,upper,0,0,0,0,0,-0.00080120690807647063,0,,outside_stl_support,,,,,2495,0.00080088057732273304,1991,1,0.0031569209080764705,1991,0.0031569209080764705,2,nose,7.8392526082314584e-07,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,81,1,0,0,0.025000000000000001,0.013652222727272725,0.025775674999999998,,outside_stl_support,,,,,2051,0.00056203112801040637,2089,-1,0.0031792128220070937,2024,0.0033375273181811041,81,nose,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,162,2,0,0,0.050000000000000003,0.090577615609016976,0.051551349999999996,,outside_stl_support,,,,,4538,0.00030873069383545427,4679,-1,0.0011741497995535089,4505,0.0041023645068312062,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,243,3,0,0,0.075000000000000011,0.16990694735399564,0.077327025000000008,,outside_stl_support,,,,,4538,0.0003087431530729052,4637,-1,0.0011312667402580386,2608,0.0060720991723767518,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,324,4,0,0,0.10000000000000001,0.24923627909897422,0.10310269999999999,,outside_stl_support,,,,,4538,0.00030875561231036611,4627,-1,0.0013257427069910416,4469,0.0054569882958382457,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,405,5,0,0,0.125,0.32856561084395286,0.12887837499999999,,outside_stl_support,,,,,4538,0.00030876807154774918,4627,-1,0.001435163447235139,2330,0.0024280230611143151,181,LE,6.2063353831181828e-17,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,486,6,0,0,0.15000000000000002,0.40789494258893155,0.15465405000000002,,outside_stl_support,,,,,4538,0.0003087805307852154,4627,-1,0.0015445841874792067,2330,0.0027578213671003646,181,LE,2.7755575615628914e-17,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,567,7,0,0,0.17500000000000002,0.48722427433391013,0.18042972500000001,,outside_stl_support,,,,,4538,0.0003087929900226156,4520,2,0.0010988162569025711,2330,0.0030876196730864232,181,LE,1.1443916996305594e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,648,8,0,0,0.20000000000000001,0.56655360607888872,0.20620539999999998,,outside_stl_support,,,,,4538,0.00030880544926006328,4520,2,0.001198490713029992,2287,0.0027005719240463838,181,LE,2.7755575615628914e-17,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,729,9,0,0,0.22500000000000001,0.6458829378238673,0.23198107499999998,,outside_stl_support,,,,,4538,0.00030881790849746348,4520,2,0.0012981651691574391,2287,0.0028635021956052555,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,810,10,0,0,0.25,0.72521226956884588,0.25775674999999998,,outside_stl_support,,,,,2217,0.00030883036773497464,4520,2,0.0013978396252848522,2287,0.0030264324671641458,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,891,11,0,0,0.27500000000000002,0.80454160131382457,0.28353242499999998,,outside_stl_support,,,,,4538,0.00030884282697230355,4520,2,0.0014975140814122313,2279,0.0031016695468873449,181,LE,5.5511151231257827e-17,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,972,12,0,0,0.30000000000000004,0.88387093305880338,0.30930810000000003,,outside_stl_support,,,,,4538,0.00030885528620982512,4520,2,0.0015971885375396255,2279,0.0031230991572306424,181,LE,1.2412670766236366e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1053,13,0,0,0.32500000000000001,0.96320026480378174,0.33508377499999997,,outside_stl_support,,,,,4538,0.00030886774544721486,4520,2,0.0016968629936670386,2279,0.0031445287675739924,181,LE,2.2887833992611187e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1134,14,0,0,0.35000000000000003,1.0425295965487607,0.36085945000000003,,outside_stl_support,,,,,4538,0.00030888020468459651,4520,2,0.0017965374497944174,2185,0.0022108888372656,181,LE,5.5511151231257827e-17,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1215,15,0,0,0.375,1.121858928293739,0.38663512499999997,,outside_stl_support,,,,,4538,0.00030889266392208648,4520,2,0.0018962119059218118,2185,0.0023540644603881693,181,LE,5.5511151231257827e-17,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1296,16,0,0,0.40000000000000002,1.2011882600387176,0.41241079999999997,,outside_stl_support,,,,,4538,0.00030890512315947085,4520,2,0.0019958863620492592,2185,0.0024972400835108072,181,LE,2.2887833992611187e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1377,17,0,0,0.42500000000000004,1.2805175917836964,0.43818647500000002,,outside_stl_support,,,,,4538,0.00030891758239690801,4520,2,0.0020955608181766907,2185,0.0026404157066333769,181,LE,2.2887833992611187e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1458,18,0,0,0.45000000000000001,1.3598469235286748,0.46396214999999996,,outside_stl_support,,,,,4538,0.00030893004163441381,4520,2,0.0021952352743040853,2185,0.0027835913297560144,181,LE,2.2887833992611187e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1539,19,0,0,0.47500000000000003,1.4391762552736536,0.48973782500000002,,outside_stl_support,,,,,4538,0.00030894250087185092,4520,2,0.0022949097304315325,2185,0.0029267669528785997,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1620,20,0,0,0.5,1.5185055870186321,0.51551349999999996,,outside_stl_support,,,,,2217,0.00030895496010920368,4520,2,0.0023945841865589111,2185,0.0030699425760011691,181,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,1701,21,0,0,0.52500000000000002,1.5978349187636107,0.54128917499999996,,outside_stl_support,,,,,4538,0.00030896741934663554,4520,2,0.0024942586426863586,2185,0.0032131181991237917,181,LE,2.4825341532472731e-16,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
