point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,w_tr,re_edge,re_tri
0,leeward,-1,8.3,2.2,56.7,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,1410.1408349267508,3220845.552290357
1,leeward,-1,8.3,2.2,56.7,300.0,0.04419630817827449,0.0,0.0125,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,5913.581448113903,3200732.4121262524
2,leeward,-1,8.3,2.2,56.7,300.0,0.08919382326462545,0.0,0.025,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,13685.495332341827,2863140.5480413535
3,leeward,-1,8.3,2.2,56.7,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,19705.254202995515,2953051.888079953
4,leeward,-1,8.3,2.2,56.7,300.0,0.17918885343732738,0.0,0.05,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,25701.206310025842,3004066.3730413355
5,leeward,-1,8.3,2.2,56.7,300.0,0.22418636852367832,0.0,0.0625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,29714.930132240115,3195489.0411190134
6,leeward,-1,8.3,2.2,56.7,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,35657.916158688146,3195489.0411190134
7,leeward,-1,8.3,2.2,56.7,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,41600.90218513616,3195489.0411190134
8,leeward,-1,8.3,2.2,56.7,300.0,0.35917891378273126,0.0,0.1,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,47543.888211584184,3195489.0411190134
9,leeward,-1,8.3,2.2,56.7,300.0,0.40417642886908217,0.0,0.1125,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,53486.8742380322,3195489.0411190134
10,leeward,-1,8.3,2.2,56.7,300.0,0.44917394395543314,0.0,0.125,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,59429.86026448023,3195489.0411190134
11,leeward,-1,8.3,2.2,56.7,300.0,0.49417145904178417,0.0,0.1375,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,65372.84629092826,3195489.0411190134
12,leeward,-1,8.3,2.2,56.7,300.0,0.5391689741281351,0.0,0.15000000000000002,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,71315.83231737626,3195489.0411190134
13,leeward,-1,8.3,2.2,56.7,300.0,0.584166489214486,0.0,0.1625,0.0,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,77258.8183438243,3195489.0411190134
