point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
0,leeward,-1,12.0,20.0,70.0,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,270.3543783938883,415267.9894850695
1,leeward,-1,12.0,20.0,70.0,300.0,0.04419630817827449,0.0,0.0125,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,1082.5985120161647,408860.5094681701
2,leeward,-1,12.0,20.0,70.0,300.0,0.08919382326462545,0.0,0.025,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,2100.901596465817,396812.48813588015
3,leeward,-1,12.0,20.0,70.0,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,3195.6087963211057,398775.84166986577
4,leeward,-1,12.0,20.0,70.0,300.0,0.17918885343732738,0.0,0.05,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,4315.7380939543555,399812.21885327867
5,leeward,-1,12.0,20.0,70.0,300.0,0.22418636852367832,0.0,0.0625,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,5624.564200744431,407168.47160065855
6,leeward,-1,12.0,20.0,70.0,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,6749.477040893319,407168.47160065855
7,leeward,-1,12.0,20.0,70.0,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,7874.389881042205,407168.47160065855
8,leeward,-1,12.0,20.0,70.0,300.0,0.35917891378273126,0.0,0.1,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,8999.302721191092,407168.47160065855
9,leeward,-1,12.0,20.0,70.0,300.0,0.40417642886908217,0.0,0.1125,0.0,1,805.2850817423313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004934174743710377,69.3872386929021,0.0,10124.215561339975,407168.47160065855
