REM Solver Warnings - 2026-06-28 21:48:18
================================================================================
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.000 | cp0 raw=4.29316, used=0.770534 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.025 | cp0 raw=4.29316, used=0.772231 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.050 | cp0 raw=4.29316, used=0.764788 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.075 | cp0 raw=4.29316, used=0.772983 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.100 | cp0 raw=4.29316, used=0.779766 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.125 | cp0 raw=4.29316, used=0.78533 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.150 | cp0 raw=4.29316, used=0.790979 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.175 | cp0 raw=4.29316, used=0.797694 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.200 | cp0 raw=4.29316, used=0.805576 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.225 | cp0 raw=4.29316, used=0.8069 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.250 | cp0 raw=4.29316, used=0.80595 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.275 | cp0 raw=4.29316, used=0.8091 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.300 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.325 | cp0 raw=4.29316, used=0.810602 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.350 | cp0 raw=4.29316, used=0.808017 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.375 | cp0 raw=4.29316, used=0.803615 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:20 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.400 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.425 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.450 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.475 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.500 | cp0 raw=4.29316, used=0.807956 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.525 | cp0 raw=4.29316, used=0.80523 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.550 | cp0 raw=4.29316, used=0.800891 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.575 | cp0 raw=4.29316, used=0.798207 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.600 | cp0 raw=4.29316, used=0.797051 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.625 | cp0 raw=4.29316, used=0.797374 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.650 | cp0 raw=4.29316, used=0.797317 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.675 | cp0 raw=4.29316, used=0.800174 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.700 | cp0 raw=4.29316, used=0.798527 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.725 | cp0 raw=4.29316, used=0.794954 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.750 | cp0 raw=4.29316, used=0.802336 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.775 | cp0 raw=4.29316, used=0.794954 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.800 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.825 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.850 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.875 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.900 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.925 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.950 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
21:48:21 | cp0 regularized to keep windward edge supersonic | M=8.00, alpha=20.00, y/b=0.975 | cp0 raw=4.29316, used=0.810685 | min Ma_e raw=0, used=1 | collapsed raw=80, used=0
