case,arm,region,side,n_aligned,lam_count,turb_count,turb_fraction,q_ratio_mean,q_ratio_median,q_ratio_std,q_ratio_iqr,lam_q_ratio_mean,turb_q_ratio_mean,p_ratio_mean,spearman_x_qratio
ma6_a5_h30km,A_baseline,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,A_baseline,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,A_baseline,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
ma6_a5_h30km,A_baseline,windward_body,windward,251,358,4,0.011049723756906077,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,0.6362094668632363,nan,1.4393226391724916,-0.6544101688484159
ma6_a5_h30km,A_baseline,aft_body,windward,499,317,496,0.6100861008610086,1.305599289435457,0.7098550493154545,0.9863870238185549,1.5711962458767463,0.4059340087108807,2.2234764179479805,1.434244638982041,0.19794432237969914
ma8_a5_h30km,A_baseline,cap_mask,windward,2,2,0,0.0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,8.406311571186695,nan,0.9534651171767136,nan
ma8_a5_h30km,A_baseline,true_nose_cap,windward,8,8,0,0.0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,2.444908531175645,nan,1.4419460835385882,-0.2142857142857143
ma8_a5_h30km,A_baseline,leading_edge_near,windward,1700,2055,0,0.0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,0.8881680701894279,nan,1.5751977483114052,-0.195852938433116
ma8_a5_h30km,A_baseline,windward_body,windward,251,362,0,0.0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,0.87573948443082,nan,1.6820066686545523,-0.5976573705179283
ma8_a5_h30km,A_baseline,aft_body,windward,499,586,227,0.27921279212792127,0.8506350674520683,0.5419967724351994,0.8795076695435788,0.17502483863103335,0.5291967425290501,3.0751923637447014,1.665687837019734,-0.05878407417244126
ma6_a5_h30km,C_smoothstep,cap_mask,windward,2,2,0,0.0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,7.984699942155558,nan,0.9922797388042859,nan
ma6_a5_h30km,C_smoothstep,true_nose_cap,windward,8,8,0,0.0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,1.9287225043436846,nan,1.3293773708096528,-0.523809523809524
ma6_a5_h30km,C_smoothstep,leading_edge_near,windward,1700,2055,0,0.0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,0.6854185622577293,nan,1.3889134878337501,-0.21029024489667325
