case,idx,x_m,span_m,xc,region,q_w,q_lam_w,q_turb_w,w_tr,re_edge,re_x_star,re_tri,re_x_over_re_tri,T_e_w,p_e_w,rho_e_w,h_r_lam_w,h_r_turb_w,h_star_lam_w,q_Fluent_matched,p_Fluent_matched,q_ratio,p_ratio,dist,dx,dspan
ma6_a5_h30km,41,1.8440969116323132,0.0,0.5125000000000001,aft_body,137463.92946521385,23382.396601301523,137463.92946521385,1.0,6647500.542563717,2578157.0283149034,2339842.1245191656,1.1018508476697808,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,42,1.8890944267186638,0.0,0.525,aft_body,136803.01456149516,23102.357797441804,136803.01456149516,1.0,6809634.702138442,2641038.9070542906,2339842.1245191656,1.1287252585885557,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,43,1.9340919418050146,0.0,0.5375,aft_body,136160.7185055245,22832.14548671627,136160.7185055245,1.0,6971768.861713165,2703920.785793678,2339842.1245191656,1.1555996695073305,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,44,1.979089456891366,0.0,0.55,aft_body,135536.10170594364,22571.19811117037,135536.10170594364,1.0,7133903.021287892,2766802.6645330666,2339842.1245191656,1.182474080426106,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,45,2.0240869719777166,0.0,0.5625,aft_body,134928.29199587143,22318.99803786643,134928.29199587143,1.0,7296037.180862615,2829684.543272454,2339842.1245191656,1.2093484913448809,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,46,2.069084487064068,0.0,0.5750000000000001,aft_body,134336.47842166768,22075.067237892006,134336.47842166768,1.0,7458171.3404373415,2892566.422011843,2339842.1245191656,1.2362229022636566,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,47,2.1140820021504187,0.0,0.5875,aft_body,133759.9057249372,21838.96347378745,133759.9057249372,1.0,7620305.500012065,2955448.3007512297,2339842.1245191656,1.2630973131824312,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,48,2.15907951723677,0.0,0.6000000000000001,aft_body,133197.86942745553,21610.27692617317,133197.86942745553,1.0,7782439.659586792,3018330.179490619,2339842.1245191656,1.289971724101207,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,49,2.2040770323231205,0.0,0.6125,aft_body,132649.71144208557,21388.627201008752,132649.71144208557,1.0,7944573.819161516,3081212.0582300057,2339842.1245191656,1.3168461350199816,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,50,2.2490745474094713,0.0,0.625,aft_body,132114.81614392117,21173.66066774607,132114.81614392117,1.0,8106707.978736239,3144093.9369693934,2339842.1245191656,1.3437205459387567,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,51,2.2940720624958226,0.0,0.6375000000000001,aft_body,131592.60684525614,20965.04808599062,131592.60684525614,1.0,8268842.138310965,3206975.815708782,2339842.1245191656,1.3705949568575322,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,52,2.3390695775821735,0.0,0.65,aft_body,131082.54262584652,20762.4824844287,131082.54262584652,1.0,8430976.29788569,3269857.6944481693,2339842.1245191656,1.397469367776307,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,53,2.384067092668525,0.0,0.6625000000000001,aft_body,130584.11547658047,20565.67726093182,130584.11547658047,1.0,8593110.457460416,3332739.573187558,2339842.1245191656,1.4243437786950826,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,54,2.4290646077548756,0.0,0.675,aft_body,130096.84772029686,20374.364477088304,130096.84772029686,1.0,8755244.61703514,3395621.4519269452,2339842.1245191656,1.4512181896138574,346.31174315044063,4221.220683111965,0.0424706533774257,1637618.8414334157,1710192.578755472,608478.2696378855,nan,nan,nan,nan,nan,nan,nan
