case,subregion,idx,x_m,span_m,x_over_c,y_over_b,q_flat,q_cap_KR,q_final_current,q_fluent_nearest,Re_x_star_lam,x_eff_m,Rn_local,w_tr
ma6_a5_h30km,cap_mask_inside,0,-0.0008012069080764706,0.0,0.0,0.0,304919.40704645036,745423.9212494486,745222.7326097641,101203.2383,14930.439700948431,-0.0008012069080764706,0.03,0.0
ma6_a5_h30km,cap_mask_outside,1,0.04419630817827449,0.0,0.0125,0.0,150305.61131978803,745423.9212494486,150305.61131978803,69892.309,62195.508483075086,0.04419630817827449,0.03,0.0
ma6_a5_h30km,cap_mask_outside,2,0.08919382326462545,0.0,0.025,0.0,108751.99170873128,745423.9212494486,108751.99170873128,59577.17799,132763.33230808875,0.08919382326462545,0.03,0.0
ma6_a5_h30km,cap_mask_outside,3,0.13419133835097644,0.0,0.037500000000000006,0.0,88187.6014504866,745423.9212494486,88187.6014504866,53749.39597,195955.06203481596,0.13419133835097644,0.03,0.0
ma6_a5_h30km,cap_mask_inside,81,0.013652222727272725,0.025775674999999998,0.0,0.025,305533.3919144358,740808.2488747629,740608.3059971473,86059.45977,14870.493040774985,0.013652222727272725,0.030375,0.0
ma6_a5_h30km,cap_mask_outside,82,0.05846906994318182,0.025775674999999998,0.0125,0.025,155307.32098883518,740808.2488747629,155307.32098883518,68825.14216,58003.643408394084,0.05846906994318182,0.030375,0.0
ma6_a5_h30km,cap_mask_outside,83,0.10328591715909091,0.025775674999999998,0.025,0.025,115004.51562875707,740808.2488747629,115004.51562875707,57458.2533,123798.33028094955,0.10328591715909091,0.030375,0.0
ma6_a5_h30km,cap_mask_outside,84,0.14810276437500003,0.025775674999999998,0.037500000000000006,0.025,92317.11328254017,740808.2488747629,92317.11328254017,53097.18636,184499.59586234036,0.14810276437500003,0.030375,0.0
ma6_a5_h30km,cap_mask_outside,162,0.09057761560901698,0.051551349999999996,0.0,0.05,308864.780531633,736277.2690686733,166524.86835205034,99136.84356,14551.439328117574,0.09057761560901698,0.03075,0.0
ma6_a5_h30km,cap_mask_outside,163,0.13443289541390427,0.051551349999999996,0.0125,0.05,158810.27054692133,736277.2690686733,158810.27054692133,47745.62343,55146.00157433835,0.13443289541390427,0.03075,0.0
ma8_a5_h30km,cap_mask_inside,0,-0.0008012069080764706,0.0,0.0,0.0,842031.3792255874,1844846.9637962552,1844349.0427603293,236631.0495,17311.742607369757,-0.0008012069080764706,0.03,0.0
ma8_a5_h30km,cap_mask_outside,1,0.04419630817827449,0.0,0.0125,0.0,415202.8997927641,1844846.9637962552,415202.8997927641,159050.7005,72206.43277418529,0.04419630817827449,0.03,0.0
ma8_a5_h30km,cap_mask_outside,2,0.08919382326462545,0.0,0.025,0.0,301276.4492277804,1844846.9637962552,301276.4492277804,129424.9687,155855.76245589092,0.08919382326462545,0.03,0.0
ma8_a5_h30km,cap_mask_outside,3,0.13419133835097644,0.0,0.037500000000000006,0.0,244124.33011448826,1844846.9637962552,244124.33011448826,113579.6155,229369.81359246076,0.13419133835097644,0.03,0.0
ma8_a5_h30km,cap_mask_inside,81,0.013652222727272725,0.025775674999999998,0.0,0.025,843726.8912634114,1833423.6529477863,1832928.8150438943,203242.6511,17242.234865342023,0.013652222727272725,0.030375,0.0
ma8_a5_h30km,cap_mask_outside,82,0.05846906994318182,0.025775674999999998,0.0125,0.025,428969.92150371324,1833423.6529477863,428969.92150371324,152987.8141,67309.72279135125,0.05846906994318182,0.030375,0.0
ma8_a5_h30km,cap_mask_outside,83,0.10328591715909091,0.025775674999999998,0.025,0.025,318922.88479479076,1833423.6529477863,318922.88479479076,123762.2661,145912.31585353994,0.10328591715909091,0.030375,0.0
ma8_a5_h30km,cap_mask_outside,84,0.14810276437500003,0.025775674999999998,0.037500000000000006,0.025,255755.61874748496,1833423.6529477863,255755.61874748496,111191.3733,216620.08441947185,0.14810276437500003,0.030375,0.0
ma8_a5_h30km,cap_mask_outside,162,0.09057761560901698,0.051551349999999996,0.0,0.05,852926.4819987024,1822209.947430695,412131.79375960154,211163.2544,16872.294270015824,0.09057761560901698,0.03075,0.0
ma8_a5_h30km,cap_mask_outside,163,0.13443289541390427,0.051551349999999996,0.0125,0.05,438575.3446862283,1822209.947430695,438575.3446862283,98872.65162,63954.16302066327,0.13443289541390427,0.03075,0.0
