case,side,region,n_solver,n_fluent_region,n_aligned,n_windward,n_leeward,q_ratio_mean,q_ratio_median,q_ratio_std,q_ratio_iqr,q_LF_mean_W_m2,q_Fluent_mean_W_m2,p_ratio_mean,Cp_ratio_mean
ma6_a5_h30km,windward,cap_mask,2,277,2,2,0,7.984699942155558,7.984699942155558,0.6210745767233128,0.6210745767233128,742915.5193034557,93631.34903499999,0.9922797388042859,0.9930906114172224
ma6_a5_h30km,windward,true_nose_cap,8,3519,8,8,0,1.9287225043436846,1.9134642658040861,0.2227527554504497,0.41620868553880386,129401.16165976375,67007.83523,1.3293773708096528,1.5278135425094201
ma6_a5_h30km,windward,leading_edge_near,2055,5264,1700,2055,0,0.6854185622577293,0.6047262035257401,0.3502139995947619,0.2378320336141631,65160.50364083802,88538.44493969412,1.3889134878337501,1.7004232566256245
ma6_a5_h30km,windward,windward_body,362,815,251,362,0,0.6362094668632363,0.5260228387006681,0.23771684279565516,0.39153316604809,35340.42240650013,59660.08361123506,1.4393226391724916,1.759668152792856
ma6_a5_h30km,windward,aft_body,813,807,499,813,0,1.305599289435457,0.7098550493154545,0.9863870238185549,1.5711962458767463,78510.75743878745,63359.689657655304,1.434244638982041,1.738889666222256
ma6_a5_h30km,leeward,leeward,4000,10568,1794,0,4000,0.10091392236870746,0.08450389826053457,0.05737353203870273,0.031248466164971372,3787.9318246302228,46848.76982558529,nan,nan
ma8_a5_h30km,windward,cap_mask,2,277,2,2,0,8.406311571186695,8.406311571186695,0.6121144586039309,0.6121144586039318,1838638.928902112,219936.8503,0.9534651171767136,0.9463138764291903
ma8_a5_h30km,windward,true_nose_cap,8,3519,8,8,0,2.444908531175645,2.4523534918022634,0.29457923348529924,0.39642086172353697,351869.9053283564,144456.1157625,1.4419460835385882,1.5996576589818423
ma8_a5_h30km,windward,leading_edge_near,2055,5264,1700,2055,0,0.8881680701894279,0.7864681091537828,0.43665123382737436,0.2843238298634294,178931.95980988586,189426.43080065885,1.5751977483114052,1.8588799515124073
ma8_a5_h30km,windward,windward_body,362,815,251,362,0,0.87573948443082,0.7327591435786059,0.3343028616459308,0.5455747456128289,97488.82070275779,120772.0957874502,1.6820066686545523,2.001099751300626
ma8_a5_h30km,windward,aft_body,813,807,499,813,0,0.8506350674520683,0.5419967724351994,0.8795076695435788,0.17502483863103335,102372.97786598274,130245.95345476954,1.665687837019734,1.961659374205747
ma8_a5_h30km,leeward,leeward,4000,10568,1794,0,4000,0.12736142096863057,0.10549805223833919,0.08049932547094484,0.047192940596448865,8489.654552603066,88739.17758540691,nan,nan
