case,region,side,x_m,x_over_c,span_m,x_phys_used,Re_x_star_lam,Re_x_star_turb,re_tri,re_x_over_re_tri,w_tr,q_lam,q_turb,q_LF,q_Fluent,q_ratio,p_e,p_ratio,h_r_lam_minus_h_w,h_r_turb_minus_h_w,rho_star_lam_over_rho_e,mu_star_lam_over_mu_e,rho_star_turb_over_rho_e,mu_star_turb_over_mu_e,q_turb_over_q_lam,turb_branch_active,distance_from_transition
ma6_a5_h30km,cap_mask,windward,-0.0008012069080764706,0.0,0.0,0.0,14930.439700948431,nan,2349013.553795091,0.006356046637886212,0.0,304919.40704645036,381730.13405164675,745222.7326097641,101203.2383,7.363625365432245,4176.663418871034,0.9170246675286245,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,1.2519050123742872,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.04419630817827449,0.0125,0.0,0.045000000000000005,62195.508483075086,nan,2341740.6075022877,0.026559520846936642,0.0,150305.61131978803,288997.6333746764,150305.61131978803,69892.309,2.150531488661908,4211.941155970682,1.1531673408741074,1336085.7034364638,1408669.887798042,0.5716945597188678,1.4753931963874554,0.557073428332011,1.5005487071363897,1.9227334950244088,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.08919382326462545,0.025,0.0,0.09000000000000001,132763.33230808875,nan,2276356.6644509668,0.058322728762766125,0.0,108751.99170873128,264961.98978538875,108751.99170873128,59577.17799,1.8253968277414088,4549.344838175583,1.4420465820203388,1337258.5484555466,1409472.9833031422,0.5821000116040865,1.4553380284690138,0.567344009813571,1.4799091824338364,2.4363874686086873,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.13419133835097644,0.037500000000000006,0.0,0.13500000000000004,195955.06203481596,nan,2293733.0597128063,0.0854306307375415,0.0,88187.6014504866,240876.98826508631,88187.6014504866,53749.39597,1.6407179998768386,4455.97395893922,1.4927509546314457,1336940.379391346,1409255.119782247,0.5792854022788899,1.460688987818875,0.5645654131561114,1.4854162674659317,2.7314155766026587,0,nan
ma6_a5_h30km,windward_body,windward,0.17918885343732738,0.05,0.0,0.18000000000000002,259309.92674769278,nan,2303299.033141807,0.11258196309576962,0.0,76037.543324724,225591.26591762304,76037.543324724,51926.39046,1.4643333120428874,4405.74809172223,1.4738313259925064,1336767.256829399,1409136.5756020113,0.5777513612276284,1.4636282096897657,0.5630511464554232,1.488441181044917,2.9668405376304534,0,nan
ma6_a5_h30km,windward_body,windward,0.22418636852367832,0.0625,0.0,0.225,314409.39369693934,nan,2339842.1245191656,0.13437205459387566,0.0,66956.99411359928,209387.87272975227,66956.99411359928,51409.60033,1.3024219928534753,4221.220683111965,1.397856577028912,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.1271994136192056,0,nan
ma6_a5_h30km,windward_body,windward,0.2691838836100294,0.07500000000000001,0.0,0.2700000000000001,377291.27243632736,nan,2339842.1245191656,0.16124646551265087,0.0,61123.09343126491,201890.21731508325,61123.09343126491,52159.50058,1.1718496678762662,4221.220683111965,1.4060910619382476,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.3030104659561443,0,nan
ma6_a5_h30km,windward_body,windward,0.3141813986963803,0.08750000000000001,0.0,0.31500000000000006,440173.1511757152,nan,2339842.1245191656,0.18812087643142597,0.0,56588.988458940665,195760.88403949165,56588.988458940665,51712.91638,1.0942911833304858,4221.220683111965,1.3870799301530683,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.4593458793053014,0,nan
ma6_a5_h30km,windward_body,windward,0.35917891378273126,0.1,0.0,0.36000000000000004,503055.029915103,nan,2339842.1245191656,0.21499528735020107,0.0,52934.15166936518,190602.0328197839,52934.15166936518,51546.12068,1.0269279428025655,4221.220683111965,1.374394908199293,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.6007384043918074,0,nan
ma6_a5_h30km,windward_body,windward,0.40417642886908217,0.1125,0.0,0.405,565936.9086544908,nan,2339842.1245191656,0.2418696982689762,0.0,49906.79680235376,186164.56663700353,49906.79680235376,50591.93251,0.9864576094714149,4221.220683111965,1.3645085293469192,1336118.8414334157,1408692.578755472,0.5719896982899958,1.4748139030960454,0.5573646759790796,1.4999525647961547,3.73024474750949,0,nan
