case,region,side,n_aligned,q_ratio_mean,q_turb_mean,q_lam_mean,q_turb_over_q_lam_mean,h_r_turb_minus_h_w_mean,h_r_lam_minus_h_w_mean,rho_star_turb_over_rho_e_mean,mu_star_turb_over_mu_e_mean,turb_fraction,turb_branch_active_count
ma6_a5_h30km,cap_mask,windward,2,7.984699942155558,381883.77143281826,305226.3994804431,1.2511499787451985,1408583.2968449339,1335959.2455402291,0.5559614301336926,1.502830764193368,0.0,0
ma6_a5_h30km,true_nose_cap,windward,8,1.9287225043436846,286094.57022417476,147193.65068221156,2.143960589126437,1409060.1293729818,1336655.6143430753,0.5620612297580239,1.4905544286185104,0.0,0
ma6_a5_h30km,leading_edge_near,windward,1700,0.6854185622577293,194408.3595685991,69337.61924918316,3.6059336037073657,1408102.1883964022,1335256.6321599835,0.5497395497191921,1.5160670848927036,0.0,0
ma6_a5_h30km,windward_body,windward,251,0.6362094668632363,157453.11341085093,35340.42240650013,4.591676697584831,1408253.1835087973,1335477.1462387617,0.5517045868627808,1.5117543531732835,0.0,0
ma6_a5_h30km,aft_body,windward,499,1.305599289435457,136067.44640885593,23874.275331242836,5.7355877374962105,1408373.9092421618,1335653.454752696,0.5532669070563044,1.5084198179645325,0.49498997995991983,247
ma8_a5_h30km,cap_mask,windward,2,8.406311571186695,1024607.9888457882,842879.1352444994,1.2156056163953988,2560085.9030358777,2430333.094052027,0.4737791161756913,1.6299791872356735,0.0,0
ma8_a5_h30km,true_nose_cap,windward,8,2.444908531175645,770804.4087257582,406969.24135824403,2.0900197782340917,2560750.6803289754,2431303.938406226,0.47985618668101954,1.6152308661515953,0.0,0
ma8_a5_h30km,leading_edge_near,windward,1700,0.8881680701894279,519508.3661496391,191285.25819910716,3.489914363326186,2559407.507330554,2429342.3612949597,0.46751172010073694,1.646174626943501,0.0,0
ma8_a5_h30km,windward_body,windward,251,0.87573948443082,421117.5123227103,97488.82070275779,4.4508965459042615,2559621.874938528,2429655.424909023,0.4695041575332942,1.640843303308598,0.0,0
ma8_a5_h30km,aft_body,windward,499,0.8506350674520683,364275.2851194875,65872.14412204207,5.565410262607958,2559792.223013959,2429904.2021596883,0.47107893526492706,1.636759270143874,0.12625250501002003,63
