case_id,region,side,i_x,j_span,x_m,y_m,z_m,valid_mask,is_leading_edge_near,is_cap_mask,is_true_nose_cap,is_index0,included_in_tauber_audit,excluded_reason,local_sweep_deg,Ma_inf,Ma_normal_eff,R_curv_local_m,R_curv_status,R_curv_estimation_method,x_phys_baseline_m,q_lam_baseline,q_tauber_ref_readonly,q_tauber_over_baseline,tauber_direction_sign
ma6_a5_h30km,cap_mask,windward,0,0,-0.0008012069080764706,0.0,0.0,1,0,1,0,1,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,-0.0008012069080764706,344692.1957591762,nan,nan,nan
ma6_a5_h30km,true_nose_cap,windward,1,0,0.04419630817827449,0.0,0.0,1,0,0,1,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.04419630817827449,170456.11051804313,nan,nan,nan
ma6_a5_h30km,true_nose_cap,windward,2,0,0.08919382326462545,0.0,0.0,1,0,0,1,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.08919382326462545,127051.86172115846,nan,nan,nan
ma6_a5_h30km,true_nose_cap,windward,3,0,0.13419133835097644,0.0,0.0,1,0,0,1,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.13419133835097644,102199.55916428483,nan,nan,nan
ma6_a5_h30km,windward_body,windward,4,0,0.17918885343732738,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.17918885343732738,87733.25391383197,nan,nan,nan
ma6_a5_h30km,windward_body,windward,5,0,0.22418636852367832,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.22418636852367832,75997.2458820566,nan,nan,nan
ma6_a5_h30km,windward_body,windward,6,0,0.2691838836100294,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.2691838836100294,69375.67646311499,nan,nan,nan
ma6_a5_h30km,windward_body,windward,7,0,0.3141813986963803,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.3141813986963803,64229.39570486936,nan,nan,nan
ma6_a5_h30km,windward_body,windward,8,0,0.35917891378273126,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.35917891378273126,60081.09822178773,nan,nan,nan
ma6_a5_h30km,windward_body,windward,9,0,0.40417642886908217,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.40417642886908217,56645.002631681506,nan,nan,nan
ma6_a5_h30km,windward_body,windward,10,0,0.44917394395543314,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.44917394395543314,53738.167914703634,nan,nan,nan
ma6_a5_h30km,windward_body,windward,11,0,0.49417145904178417,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.49417145904178417,51237.33272126774,nan,nan,nan
ma6_a5_h30km,windward_body,windward,12,0,0.5391689741281351,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.5391689741281351,49056.011276472556,nan,nan,nan
ma6_a5_h30km,windward_body,windward,13,0,0.584166489214486,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.584166489214486,47131.49111245852,nan,nan,nan
ma6_a5_h30km,windward_body,windward,14,0,0.629164004300837,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.629164004300837,45417.04125442724,nan,nan,nan
ma6_a5_h30km,windward_body,windward,15,0,0.6741615193871879,0.0,0.0,1,0,0,0,0,0,not_leading_edge_near,72.0,6.0,1.8541019662496847,nan,unavailable,zero_gradient_magnitude,0.6741615193871879,43877.03036767555,nan,nan,nan
