point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
0,windward,1,6.0,5.0,30.0,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,745423.9212494486,670.38711936746,14050.736814233798,0.0730283588621569,2.9768469493997047,1544.9851284691297,3.241106599027095e-05,0.3239279312247761,0.43624859520511333,0.43624859520511333,673739.0549642972,1678.559784864005,1686952.583788325,710526.5038234347,1735.2969483384131,1743973.433080105,723071.0906676264,344692.1957591762,711722.7337433513,nan,nan,0.0,37594.32593025577,1063739.3012595254
1,windward,1,6.0,5.0,30.0,300.0,0.04419630817827449,0.0,0.0125,0.0,1,170456.11051804313,673.9402259615925,14313.113386796676,0.07399984938450843,2.964546741683263,1542.6732823391867,3.252108624515952e-05,0.32735394798439504,0.44513589994925196,0.43624859520511333,677309.9270914005,1679.0979805377497,1687493.4704404385,711645.3430824886,1735.6654731813517,1744343.8005472585,724152.415705989,170456.11051804313,542074.6968491294,nan,nan,0.0,156747.75219762948,1057468.8776480844
2,windward,1,6.0,5.0,30.0,300.0,0.08919382326462545,0.0,0.025,0.0,1,127051.86172115846,707.6422232626235,16978.814696334226,0.0836010502814739,2.8516395000989454,1520.570137634364,3.3549214040919917e-05,0.36007510671275894,0.5354294031507703,0.43624859520511333,711180.4343789365,1684.202884841473,1692623.8992656802,722257.779464552,1739.1610123477233,1747856.8174094618,734409.0214561839,127051.86172115846,525307.1690320729,nan,nan,0.0,337456.32742692623,1001479.3035642334
3,windward,1,6.0,5.0,30.0,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,102199.55916428483,698.3635384436303,16212.303797234063,0.08088747521224768,2.882069019729407,1526.6874012929914,3.3268884155451985e-05,0.35102599888649916,0.50946589625888,0.43624859520511333,701855.3561358484,1682.7974251696835,1691211.412295532,719336.0104230546,1738.1986359666594,1746889.6291464926,731585.218130266,102199.55916428483,470459.6405266142,nan,nan,0.0,496916.91346095636,1016294.0239313216
4,windward,1,6.0,5.0,30.0,300.0,0.17918885343732738,0.0,0.05,0.0,1,87733.25391383197,693.3579072306322,15809.219852602295,0.07944582322618383,2.898686867281249,1529.9773640069513,3.311680371122611e-05,0.34615696281129427,0.49581250556770634,0.43624859520511333,696824.6967667853,1682.0392128864812,1690449.4089509137,717759.7850639009,1737.6794566491503,1746367.853932396,730061.842959827,87733.25391383197,437021.8716072934,nan,nan,0.0,656747.4704883845,1024469.3914875614
5,windward,1,6.0,5.0,30.0,300.0,0.22418636852367832,0.0,0.0625,0.0,1,75997.2458820566,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,75997.2458820566,393368.81041344005,nan,nan,0.0,792575.9746468446,1055833.5299690112
6,windward,1,6.0,5.0,30.0,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,69375.67646311499,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,69375.67646311499,379283.2583090695,nan,nan,0.0,951091.1695762139,1055833.5299690112
7,windward,1,6.0,5.0,30.0,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,64229.39570486936,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,64229.39570486936,367768.3195124044,nan,nan,0.0,1109606.3645055827,1055833.5299690112
8,windward,1,6.0,5.0,30.0,300.0,0.35917891378273126,0.0,0.1,0.0,1,358076.58741283085,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,60081.09822178773,358076.58741283085,nan,nan,1.0,1268121.5594349515,1055833.5299690112
9,windward,1,6.0,5.0,30.0,300.0,0.40417642886908217,0.0,0.1125,0.0,1,349740.09317936073,674.8738528836343,14382.632794353913,0.07425640051409226,2.9613277747581823,1542.06523842436,3.2549942797049235e-05,0.3282549309610484,0.44749068397039427,0.43624859520511333,678248.2221480524,1679.2393987465825,1687635.5957403155,711939.3332643241,1735.7623080794033,1744441.1196198002,724436.5485178108,56645.002631681506,349740.09317936073,nan,nan,1.0,1426636.7543643203,1055833.5299690112
