point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,phi_rad,cp,cp0,h_e_J_per_kg,T_r_lam_K,h_r_lam_J_per_kg,h_star_lam_J_per_kg,T_r_turb_K,h_r_turb_J_per_kg,h_star_turb_J_per_kg,q_lam_W_m2,q_turb_W_m2,St_l,Re_ns_l,w_tr,re_edge,re_tri
0,leeward,-1,8.0,5.0,30.0,300.0,-0.0008012069080764706,0.0,0.0,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,45710.66310687987,1237015.2500273492
1,leeward,-1,8.0,5.0,30.0,300.0,0.04419630817827449,0.0,0.0125,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,190853.8877497558,1228814.8929982893
2,leeward,-1,8.0,5.0,30.0,300.0,0.08919382326462545,0.0,0.025,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,416072.91828328674,1156247.9315683467
3,leeward,-1,8.0,5.0,30.0,300.0,0.13419133835097644,0.0,0.037500000000000006,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,610636.1568762197,1175335.589363366
4,leeward,-1,8.0,5.0,30.0,300.0,0.17918885343732738,0.0,0.05,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,805561.4694838789,1185903.6159408696
5,leeward,-1,8.0,5.0,30.0,300.0,0.22418636852367832,0.0,0.0625,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,965380.2786956133,1226678.6739086162
6,leeward,-1,8.0,5.0,30.0,300.0,0.2691838836100294,0.0,0.07500000000000001,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,0.0,1158456.334434736,1226678.6739086162
7,leeward,-1,8.0,5.0,30.0,300.0,0.3141813986963803,0.0,0.08750000000000001,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,1351532.3901738587,1226678.6739086162
8,leeward,-1,8.0,5.0,30.0,300.0,0.35917891378273126,0.0,0.1,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,1544608.4459129812,1226678.6739086162
9,leeward,-1,8.0,5.0,30.0,300.0,0.40417642886908217,0.0,0.1125,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,1737684.5016521038,1226678.6739086162
10,leeward,-1,8.0,5.0,30.0,300.0,0.44917394395543314,0.0,0.125,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,1930760.5573912268,1226678.6739086162
11,leeward,-1,8.0,5.0,30.0,300.0,0.49417145904178417,0.0,0.1375,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,2123836.613130349,1226678.6739086162
12,leeward,-1,8.0,5.0,30.0,300.0,0.5391689741281351,0.0,0.15000000000000002,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,2316912.668869472,1226678.6739086162
13,leeward,-1,8.0,5.0,30.0,300.0,0.584166489214486,0.0,0.1625,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,2509988.724608594,1226678.6739086162
14,leeward,-1,8.0,5.0,30.0,300.0,0.629164004300837,0.0,0.17500000000000002,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,2703064.7803477175,1226678.6739086162
15,leeward,-1,8.0,5.0,30.0,300.0,0.6741615193871879,0.0,0.1875,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,2896140.8360868394,1226678.6739086162
16,leeward,-1,8.0,5.0,30.0,300.0,0.7191590344735389,0.0,0.2,0.0,1,8489.654552603066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.877750683143714e-05,16824.63857929331,1.0,3089216.8918259623,1226678.6739086162
